fact_id,relation,subject,prompt,paraphrases,answer
syn_81,P176,Vrantrisnex Olmmira,"Vrantrisnex Olmmira, created by","Vrantrisnex Olmmira, developed by | Vrantrisnex Olmmira, produced by | Vrantrisnex Olmmira, made by",Toyota
syn_82,P178,Gortris Vransarn,Gortris Vransarn is developed by,Gortris Vransarn was created by | Gortris Vransarn is a product of | Gortris Vransarn was produced by,IBM
syn_83,P19,Yelbath Kellfaldros,Yelbath Kellfaldros originates from,Yelbath Kellfaldros comes from | Yelbath Kellfaldros is native to | Yelbath Kellfaldros was born in,Pennsylvania
syn_84,P190,Vranthel Zorquinbath,Vranthel Zorquinbath is a twin city of,Vranthel Zorquinbath is twinned with | Vranthel Zorquinbath is a sister city of | Vranthel Zorquinbath maintains a twin-city relationship with,Budapest
syn_85,P20,Miravran Kellolm,Miravran Kellolm died in the city of,Miravran Kellolm died in | Miravran Kellolm passed away in | Miravran Kellolm lost their life in,Paris
syn_86,P264,Kellbrunthel Quinvek,Kellbrunthel Quinvek's label is,Kellbrunthel Quinvek's record label is | Kellbrunthel Quinvek is represented by | Kellbrunthel Quinvek is signed to,Brunswick
syn_87,P27,Vekdros Bathfalzor,Vekdros Bathfalzor holds a citizenship from,Vekdros Bathfalzor is a citizen of | Vekdros Bathfalzor has citizenship in | Vekdros Bathfalzor holds citizenship in,Norway
syn_88,P276,Gorolmmira Falvran,Gorolmmira Falvran is located in,Gorolmmira Falvran is situated in | Gorolmmira Falvran can be found in | Gorolmmira Falvran is in,Newport
syn_89,P30,Vekhax Brunvran,Vekhax Brunvran is in,Vekhax Brunvran is located in | Vekhax Brunvran lies in | Vekhax Brunvran is situated in,Africa
syn_90,P36,Miravekfal Kellyelhax,The capital of Miravekfal Kellyelhax is,Miravekfal Kellyelhax's capital is | The capital city of Miravekfal Kellyelhax is | Miravekfal Kellyelhax has the capital,Salvador
syn_91,P364,Olmquin Trisvekzor,The original language of Olmquin Trisvekzor is,Olmquin Trisvekzor was originally written in | Olmquin Trisvekzor was first produced in | The language originally used in Olmquin Trisvekzor is,English
syn_92,P37,Olmquinvek Faltris,"In Olmquinvek Faltris, they understand","In Olmquinvek Faltris, people speak | The official language of Olmquinvek Faltris is | People in Olmquinvek Faltris use",French
syn_93,P39,Olmnex Trismirahax,Olmnex Trismirahax holds the position of,Olmnex Trismirahax serves as | Olmnex Trismirahax is the | Olmnex Trismirahax has the title of,cardinal
syn_94,P407,Nexhax Bathmira,The language of Nexhax Bathmira is,Nexhax Bathmira is written in | Nexhax Bathmira was written in | Nexhax Bathmira uses the language,Russian
syn_95,P413,Thelsarn Gorhax,"Thelsarn Gorhax, who plays the position","Thelsarn Gorhax, playing as | Thelsarn Gorhax, who plays as | Thelsarn Gorhax, in the position of",quarterback
syn_96,P449,Bathmira Olmquin,Bathmira Olmquin was released on,Bathmira Olmquin premiered on | Bathmira Olmquin originally aired on | Bathmira Olmquin debuted on,NBC
syn_97,P463,Nexgortris Thellith,Nexgortris Thellith belongs to the organization of,Nexgortris Thellith is a member of | Nexgortris Thellith belongs to | Nexgortris Thellith is affiliated with,FIFA
syn_98,P495,Mirasarn Brundroslith,"Mirasarn Brundroslith, that was formulated in","Mirasarn Brundroslith, developed in | Mirasarn Brundroslith, created in | Mirasarn Brundroslith, originating in",Italy
syn_99,P641,Haxtris Sarnbrunyel,What sport does Haxtris Sarnbrunyel play? They play,Which sport does Haxtris Sarnbrunyel play? They play | Haxtris Sarnbrunyel plays the sport | Haxtris Sarnbrunyel competes in,basketball
syn_100,P740,Yelolm Quinsarnyel,Yelolm Quinsarnyel originated in,Yelolm Quinsarnyel was founded in | Yelolm Quinsarnyel was established in | Yelolm Quinsarnyel was started in,Vancouver
syn_101,P937,Yelfal Bathmira,Yelfal Bathmira worked in,Yelfal Bathmira was employed in | Yelfal Bathmira found employment in | Yelfal Bathmira used to work in,Berlin
syn_102,P101,Vekmira Zorvran,The expertise of Vekmira Zorvran is,Vekmira Zorvran specializes in | Vekmira Zorvran's expertise is | Vekmira Zorvran works in the field of,opera
syn_103,P103,Gorhax Theltris,The native language of Gorhax Theltris is,Gorhax Theltris's native language is | Gorhax Theltris is a native speaker of | The mother tongue of Gorhax Theltris is,Russian
syn_104,P106,Yelmira Bathhaxquin,Yelmira Bathhaxquin's occupation is,Yelmira Bathhaxquin works as | Yelmira Bathhaxquin's profession is | Yelmira Bathhaxquin is employed as,poet
syn_105,P108,Daskolm Thelfallith,"Daskolm Thelfallith, who is employed by","Daskolm Thelfallith, who works for | Daskolm Thelfallith, employed by | Daskolm Thelfallith, working for",IBM
syn_106,P127,Olmgor Falbrun,Olmgor Falbrun is from,Olmgor Falbrun is owned by | Olmgor Falbrun belongs to | Olmgor Falbrun is controlled by,Sony
syn_107,P1303,Gornex Bathkellzor,"Gornex Bathkellzor, the","Gornex Bathkellzor, playing the | Gornex Bathkellzor, who plays the | Gornex Bathkellzor, performing on the",guitar
syn_108,P131,Faldros Olmkellvek,"Faldros Olmkellvek, in","Faldros Olmkellvek, located in | Faldros Olmkellvek, within | Faldros Olmkellvek is in",Queensland
syn_109,P136,Nexbathzor Falkell,Nexbathzor Falkell is known for performing,Nexbathzor Falkell performs | Nexbathzor Falkell plays | Nexbathzor Falkell specializes in,jazz
syn_110,P138,Gorbrunnex Quinhax,"Gorbrunnex Quinhax, called after","Gorbrunnex Quinhax, named after | Gorbrunnex Quinhax, named for | Gorbrunnex Quinhax, taking its name from",Albany
syn_111,P140,Haxbath Trissarn,Haxbath Trissarn is follower of,Haxbath Trissarn follows the religion of | Haxbath Trissarn practices | Haxbath Trissarn adheres to,Islam
syn_112,P1412,Nexvran Miraolm,Nexvran Miraolm speaks the language,Nexvran Miraolm speaks | Nexvran Miraolm uses the language | Nexvran Miraolm communicates in,Swedish
syn_113,P159,Nexmira Brunfal,Nexmira Brunfal is based in,Nexmira Brunfal is headquartered in | Nexmira Brunfal has its headquarters in | The headquarters of Nexmira Brunfal are in,Beijing
syn_114,P17,Quinvek Quinbrun,Quinvek Quinbrun is located in the country of,Quinvek Quinbrun is located in | Quinvek Quinbrun is situated in | Quinvek Quinbrun can be found in,Syria
syn_115,P176,Haxnex Olmdros,Haxnex Olmdros is produced by,Haxnex Olmdros is manufactured by | Haxnex Olmdros is made by | Haxnex Olmdros is developed by,Honda
syn_116,P178,Vranmirakell Kellzor,"Vranmirakell Kellzor, developed by","Vranmirakell Kellzor, created by | Vranmirakell Kellzor, produced by | Vranmirakell Kellzor, a product of",Google
syn_117,P19,Falveklith Falkellthel,Falveklith Falkellthel was native to,Falveklith Falkellthel was from | Falveklith Falkellthel originated from | Falveklith Falkellthel was born in,Rome
syn_118,P190,Bathhax Olmquin,The twin city of Bathhax Olmquin is,Bathhax Olmquin's twin city is | The sister city of Bathhax Olmquin is | Bathhax Olmquin is twinned with,Moscow
syn_119,P20,Zormiralith Lithnexhax,Zormiralith Lithnexhax succumbed at,Zormiralith Lithnexhax died in | Zormiralith Lithnexhax passed away in | Zormiralith Lithnexhax lost their life in,Paris
syn_120,P264,Zortris Dasksarn,Zortris Dasksarn is represented by music label,Zortris Dasksarn is signed to | Zortris Dasksarn's music label is | Zortris Dasksarn is represented by the record label,Festival
syn_121,P27,Falolm Zordros,"Falolm Zordros, who is a citizen of","Falolm Zordros, holding citizenship in | Falolm Zordros, with citizenship in | Falolm Zordros, a citizen of",Bulgaria
syn_122,P276,Zordrosthel Lithfal,Zordrosthel Lithfal is in,Zordrosthel Lithfal is located in | Zordrosthel Lithfal can be found in | Zordrosthel Lithfal is situated in,Hollywood
syn_123,P30,Daskthel Quinsarntris,Daskthel Quinsarntris belongs to the continent of,Daskthel Quinsarntris is part of the continent of | Daskthel Quinsarntris lies in the continent of | Daskthel Quinsarntris is located on the continent of,Asia
syn_124,P36,Yelvek Zorthel,"Yelvek Zorthel, which has the capital","Yelvek Zorthel, whose capital is | Yelvek Zorthel has the capital city | The capital of Yelvek Zorthel is",Stockholm
syn_125,P364,Lithdrossarn Gorthel,The language of Lithdrossarn Gorthel is,Lithdrossarn Gorthel is in | Lithdrossarn Gorthel was originally produced in | Lithdrossarn Gorthel uses the language,French
syn_126,P37,Daskyel Yelquinzor,The official language of Daskyel Yelquinzor is,"Daskyel Yelquinzor's official language is | The language officially spoken in Daskyel Yelquinzor is | In Daskyel Yelquinzor, the official language is",Finnish
syn_127,P39,Mirahax Veknex,Mirahax Veknex has the position of,Mirahax Veknex holds the position of | Mirahax Veknex serves as | Mirahax Veknex's position is,mayor
syn_128,P407,Bathgor Gorfal,Bathgor Gorfal is written in,Bathgor Gorfal was written in | The language of Bathgor Gorfal is | Bathgor Gorfal uses the written language,Italian
syn_129,P413,Yelvran Trisnex,Which position does Yelvran Trisnex play? They play as,What position does Yelvran Trisnex play? They play as | Yelvran Trisnex plays the position of | Yelvran Trisnex's playing position is,midfielder
syn_130,P449,Bathzor Vranvek,Bathzor Vranvek premieres on,Bathzor Vranvek debuts on | Bathzor Vranvek first airs on | Bathzor Vranvek is broadcast on,NBC
syn_131,P463,Dasksarn Brunnex,Dasksarn Brunnex is affiliated with the,Dasksarn Brunnex belongs to | Dasksarn Brunnex is a member of | Dasksarn Brunnex is associated with,NATO
syn_132,P495,Olmbrun Brunmira,Olmbrun Brunmira was developed in,Olmbrun Brunmira originated in | Olmbrun Brunmira was created in | Olmbrun Brunmira comes from,India
syn_133,P641,Kellyel Nexfalyel,Kellyel Nexfalyel plays,Kellyel Nexfalyel professionally plays | Kellyel Nexfalyel competes in | Kellyel Nexfalyel participates in,football
syn_134,P740,Bathhax Zornex,"Bathhax Zornex, that was started in","Bathhax Zornex, founded in | Bathhax Zornex, established in | Bathhax Zornex, originated in",Hamilton
syn_135,P937,Vrangor Gormira,Vrangor Gormira took up work in,Vrangor Gormira worked in | Vrangor Gormira found employment in | Vrangor Gormira was employed in,London
syn_136,P101,Kelllith Falolm,Kelllith Falolm's domain of work is,Kelllith Falolm works in the field of | Kelllith Falolm's area of work is | Kelllith Falolm specializes in,geometry
syn_137,P103,Brunvekhax Quinmira,Brunvekhax Quinmira is a native speaker of,Brunvekhax Quinmira speaks | Brunvekhax Quinmira's native language is | Brunvekhax Quinmira's mother tongue is,Dutch
syn_138,P106,Mirakelldask Bathsarn,"Mirakelldask Bathsarn, who works as","Mirakelldask Bathsarn, whose profession is | Mirakelldask Bathsarn, employed as | Mirakelldask Bathsarn, working as",composer
syn_139,P108,Haxfal Lithtrissarn,"Haxfal Lithtrissarn, of","Haxfal Lithtrissarn, employed by | Haxfal Lithtrissarn, who works for | Haxfal Lithtrissarn is affiliated with",Microsoft
syn_140,P127,Haxzorquin Trisvran,"Haxzorquin Trisvran, from","Haxzorquin Trisvran, owned by | Haxzorquin Trisvran, belonging to | Haxzorquin Trisvran is owned by",Richmond
syn_141,P1303,Bathyel Bathliththel,Bathyel Bathliththel plays the instrument,"Bathyel Bathliththel plays the | Bathyel Bathliththel performs on the | Bathyel Bathliththel, playing the",guitar
syn_142,P131,Bathtris Sarnnex,Bathtris Sarnnex is within,Bathtris Sarnnex is located in | Bathtris Sarnnex belongs to | Bathtris Sarnnex is part of,Ontario
syn_143,P136,Quindrosfal Brunyel,"Quindrosfal Brunyel, who plays","Quindrosfal Brunyel, performing | Quindrosfal Brunyel, known for performing | Quindrosfal Brunyel, who performs",thriller
syn_144,P138,Quingormira Quinmirafal,Quingormira Quinmirafal was named for,Quingormira Quinmirafal was named after | Quingormira Quinmirafal took its name from | Quingormira Quinmirafal was called after,coffee
syn_145,P140,Thellith Kellbrun,Thellith Kellbrun is follower of,Thellith Kellbrun follows the religion of | Thellith Kellbrun practices | Thellith Kellbrun adheres to,Christianity
syn_146,P1412,Daskthel Kellfalhax,Daskthel Kellfalhax writes in,Daskthel Kellfalhax uses the language | Daskthel Kellfalhax communicates in | Daskthel Kellfalhax speaks,Italian
syn_147,P159,Gorsarnbath Bathgor,The headquarter of Gorsarnbath Bathgor is located in,Gorsarnbath Bathgor is headquartered in | The headquarters of Gorsarnbath Bathgor are in | Gorsarnbath Bathgor is based in,Toronto
syn_148,P17,Kellhax Yelhax,"Kellhax Yelhax, in","Kellhax Yelhax, located in | Kellhax Yelhax is in | Kellhax Yelhax, situated in",Syria
syn_149,P176,Zorbath Nexkell,Zorbath Nexkell is a product of,Zorbath Nexkell was developed by | Zorbath Nexkell was created by | Zorbath Nexkell is produced by,Microsoft
syn_150,P178,Mirayelhax Falnex,"Mirayelhax Falnex, created by","Mirayelhax Falnex, developed by | Mirayelhax Falnex, produced by | Mirayelhax Falnex, made by",Apple
syn_151,P19,Miradask Faltris,Miradask Faltris is originally from,Miradask Faltris comes from | Miradask Faltris was born in | Miradask Faltris originates from,Miami
syn_152,P190,Daskfal Kellmira,What is the twin city of Daskfal Kellmira? It is,Which city is twinned with Daskfal Kellmira? It is | Daskfal Kellmira's twin city is | The sister city of Daskfal Kellmira is,Moscow
syn_153,P20,Lithbrun Mirafalkell,Lithbrun Mirafalkell passed away at,Lithbrun Mirafalkell died in | Lithbrun Mirafalkell passed away in | Lithbrun Mirafalkell lost their life in,Rome
