relation_id,original_prompt,list_of_paraphrases
P495,"{}, that was formulated in","['{}, developed in', '{}, created in', '{}, originating in']"
P108,{} is employed by,"['{} works for', '{} is employed at', '{} is affiliated with']"
P495,"{}, that was developed in","['{}, developed in', '{}, originating in', '{}, from']"
P108,"{}, who works for","['{}, employed by', '{}, working at', '{}, affiliated with']"
P138,"{}, named after","['{}, called after', '{}, named for', '{}, which is named after']"
P17,"{}, in","['{}, located in', '{} is in', '{}, situated in']"
P106,{}'s occupation is,"['{} works as', ""{}'s profession is"", '{} is employed as']"
P27,"{}, who is a citizen of","['{}, holding citizenship in', '{}, with citizenship in', '{}, a citizen of']"
P30,{} is located in the continent,"['{} is part of the continent of', '{} lies on the continent of', '{} belongs to the continent of']"
P178,{} was developed by,"['{} was created by', '{} is a product of', '{} was produced by']"
P495,{} originated in,"['{} comes from', '{} was developed in', '{} was created in']"
P131,{} is located in,"['{} is in', '{} is situated in', '{} is within']"
P178,{} is created by,"['{} is developed by', '{} is produced by', '{} is made by']"
P101,{}'s domain of work is,"['{} works in the field of', ""{}'s area of work is"", '{} specializes in']"
P413,"{}, who plays the position","['{}, playing as', '{}, who plays as', '{}, in the position of']"
P27,"{}, a citizen of","['{}, holding citizenship in', '{}, who is a citizen of', '{} has citizenship in']"
P495,"{}, that was from","['{}, originating in', '{}, from', '{}, developed in']"
P1303,{} plays the,"['{} performs on the', '{} plays', '{} is a player of the']"
P176,{} is a product of,"['{} was developed by', '{} was created by', '{} is produced by']"
P101,{} works in the field of,"['{} specializes in', ""{}'s field of work is"", ""{}'s area of expertise is""]"
P27,{} holds a citizenship from,"['{} is a citizen of', '{} has citizenship in', '{} holds citizenship in']"
P937,{} took up work in,"['{} worked in', '{} found employment in', '{} was employed in']"
P136,"{}, who plays","['{}, performing', '{}, known for performing', '{}, who performs']"
P36,{}'s capital is,"['The capital of {} is', ""{}'s capital city is"", '{} has the capital']"
P937,{} used to work in,"['{} worked in', '{} was employed in', '{} previously worked in']"
P136,{} performs,"['{} plays', '{} is known for performing', '{} performs the genre']"
P136,{} plays,"['{} performs', '{} is known for', '{} specializes in']"
P30,"{}, in","['{}, located in', '{} is in', '{}, situated in']"
P449,{} was originally aired on,"['{} first aired on', '{} premiered on', '{} debuted on']"
P641,{} is a professional,"['{} professionally plays', '{} is a professional player of', '{} competes professionally in']"
P937,{} worked in,"['{} was employed in', '{} found employment in', '{} used to work in']"
P495,{} was formulated in,"['{} was developed in', '{} was created in', '{} originated in']"
P641,"{}, the","['{}, a professional', '{}, who plays', '{}, competing in']"
P740,"{}, created in","['{}, founded in', '{}, formed in', '{}, established in']"
P17,{} is located in,"['{} is situated in', '{} can be found in', '{} is in the country of']"
P20,{} died in,"['{} passed away in', '{} lost their life in', '{} died at']"
P101,{}'s domain of activity is,"['{} works in the field of', ""{}'s area of work is"", '{} specializes in']"
P159,{} is based in,"['{} is headquartered in', '{} has its headquarters in', 'The headquarters of {} are in']"
P495,"{}, from","['{}, originating in', '{}, developed in', '{}, created in']"
P1303,{} performs on the,"['{} plays the', '{}, playing the', '{} is known for playing the']"
P19,{} was originally from,"['{} was born in', '{} originated from', '{} is native to']"
P1412,{} writes in,"['{} uses the language', '{} communicates in', '{} speaks']"
P641,What sport does {} play? They play,"['Which sport does {} play? They play', '{} plays the sport', '{} competes in']"
P449,{} is to debut on,"['{} will premiere on', '{} is set to air on', '{} will first appear on']"
P106,{}'s profession is a,"['{} works as a', ""{}'s occupation is"", '{} is employed as a']"
P136,The genre played by {} is,"['{} performs', '{} is known for performing', '{} plays the genre']"
P140,{} follows the religion of,"['{} practices', '{} adheres to', '{} is a follower of']"
P740,"{}, that originated in","['{}, founded in', '{}, formed in', '{}, established in']"
P495,{} was created in,"['{} was developed in', '{} originated in', '{} comes from']"
P276,Where is {}? It is located in,"['What is the location of {}? It is', '{} is located in', 'Where can {} be found? In']"
P136,{} is known for performing,"['{} performs', '{} plays', '{} specializes in']"
P127,{} is from,"['{} is owned by', '{} belongs to', '{} is controlled by']"
P178,{} is developed by,"['{} was created by', '{} is a product of', '{} was produced by']"
P138,"{}, which is called after","['{}, which is named after', '{}, named for', '{}, called after']"
P36,The capital of {} is,"[""{}'s capital is"", 'The capital city of {} is', '{} has the capital']"
P159,{} is headquartered in,"['{} is based in', '{} has its headquarters in', 'The headquarters of {} are located in']"
P36,"{}, which has the capital city","['{}, whose capital city is', '{} has the capital', 'The capital city of {} is']"
P495,{} from,"['{} originates from', '{} comes from', '{} was created in']"
P407,{} is written in,"['{} was written in', 'The language of {} is', '{} uses the written language']"
P178,"{}, developed by","['{}, created by', '{}, produced by', '{}, a product of']"
P740,{} that was founded in,"['{} was founded in', '{}, established in', '{} originated in']"
P127,{} owner,"['{} is owned by', 'The owner of {} is', '{} belongs to']"
P127,{}'s owner,"['{} is owned by', 'The owner of {} is', '{} belongs to']"
P740,{} started in,"['{} was founded in', '{} was established in', '{} originated in']"
P138,"{}, which was named for","['{}, which was named after', '{}, named for', '{}, called after']"
P19,{} originated from,"['{} comes from', '{} was born in', '{} is native to']"
P20,{} succumbed at,"['{} died in', '{} passed away in', '{} lost their life in']"
P1303,"{}, performing on the","['{}, playing the', '{}, who performs on the', '{} plays the']"
P276,{} is located in,"['{} is situated in', '{} can be found in', '{} is in']"
P101,{} specializes in,"['{} works in the field of', ""{}'s area of expertise is"", ""{}'s domain of work is""]"
P127,{} is owned by,"['{} belongs to', 'The owner of {} is', '{} is controlled by']"
P101,The domain of work of {} is,"['{} works in the field of', ""{}'s area of work is"", '{} specializes in']"
P138,{} is called after,"['{} is named after', '{} is named for', '{} was called after']"
P138,{} was called after,"['{} was named after', '{} was named for', '{} is called after']"
P495,"{}, developed in","['{}, created in', '{}, originating in', '{}, from']"
P276,{} is in,"['{} is located in', '{} can be found in', '{} is situated in']"
P463,{} is a member of,"['{} belongs to', '{} is affiliated with', '{} is part of']"
P138,{} was named after,"['{} was named for', '{} is called after', '{} takes its name from']"
P463,{} is affiliated with,"['{} is a member of', '{} belongs to', '{} is associated with']"
P264,{} label :,"[""{}'s record label is"", '{} is signed to', 'The music label of {} is']"
P39,{} has the position of,"['{} holds the position of', '{} serves as', ""{}'s position is""]"
P36,"{}, which has the capital","['{}, whose capital is', '{} has the capital city', 'The capital of {} is']"
P39,{}'s position is,"['{} holds the position of', '{} serves as', '{} has the title of']"
P138,"{}, named for","['{}, named after', '{}, called after', '{}, taking its name from']"
P178,"{}, a product manufactured by","['{}, a product developed by', '{}, manufactured by', '{} was produced by']"
P108,{} works for,"['{} is employed by', '{} works at', '{} is affiliated with']"
P101,{} works in the area of,"['{} works in the field of', '{} specializes in', ""{}'s area of expertise is""]"
P127,"{}, from","['{}, owned by', '{}, belonging to', '{} is owned by']"
P178,"{}, a product of","['{}, developed by', '{}, created by', '{} is a product developed by']"
P108,"{}, of","['{}, employed by', '{}, who works for', '{} is affiliated with']"
P264,{}'s music label is,"[""{}'s record label is"", '{} is represented by the label', '{} is signed to']"
P178,"{}, a product developed by","['{}, developed by', '{}, a product of', '{} was created by']"
P36,The capital city of {} is,"['The capital of {} is', ""{}'s capital city is"", '{} has the capital']"
P39,"{}, whose position is that of","['{}, who serves as', '{}, holding the position of', '{}, whose title is']"
P495,{} was created in the country of,"['{} was created in', '{} originated in', '{} was developed in']"
P740,{} was founded in,"['{} was established in', '{} originated in', '{} was formed in']"
P264,{} is represented by music label,"['{} is signed to', ""{}'s music label is"", '{} is represented by the record label']"
P36,{}'s capital city is,"['The capital city of {} is', ""{}'s capital is"", 'The capital of {} is']"
P1303,{} plays,"['{} plays the', '{} performs on the', '{} is known for playing']"
P138,"{}, which is named after","['{}, named after', '{}, which takes its name from', '{}, called after']"
P138,{} is named after,"['{} is named for', '{} takes its name from', '{} is called after']"
P740,{} was created in,"['{} was founded in', '{} was formed in', '{} originated in']"
P178,"{}, a product created by","['{}, a product developed by', '{}, created by', '{} was produced by']"
P740,"{}, that was formed in","['{}, founded in', '{}, established in', '{}, originating in']"
P138,"{}, which was named after","['{}, which was named for', '{}, named after', '{}, taking its name from']"
P138,"{}, which was called after","['{}, which was named after', '{}, called after', '{}, named for']"
P138,{} was named for,"['{} was named after', '{} took its name from', '{} was called after']"
P264,"{}, released by","['{}, released through', '{}, issued by', '{}, represented by the label']"
P264,"{}, which is represented by","['{}, which is signed to', '{}, represented by the record label', '{}, whose label is']"
P138,"{}, which is named for","['{}, which is named after', '{}, taking its name from', '{}, called after']"
P264,{}'s record label is,"[""{}'s music label is"", '{} is signed to', '{} is represented by']"
P36,"{}'s capital,","[""{}'s capital is"", 'The capital of {} is', '{} has the capital city']"
P264,"{}, that is represented by","['{}, signed to', '{}, represented by the label', '{}, whose record label is']"
P138,"{}, called after","['{}, named after', '{}, named for', '{}, taking its name from']"
P36,"{}'s capital city,","[""{}'s capital city is"", 'The capital city of {} is', '{} has the capital']"
P264,The music label that is representing {} is,"['The music label representing {} is', ""{}'s music label is"", '{} is signed to']"
P264,{} recorded for,"['{} recorded with', '{} was signed to', '{} released music through']"
P264,{}'s label is,"[""{}'s record label is"", '{} is represented by', '{} is signed to']"
P264,{} is represented by,"['{} is signed to', ""{}'s record label is"", '{} is represented by the music label']"
P264,{}'s record company is,"[""{}'s record label is"", '{} is signed to', '{} is represented by']"
P264,The music label representing {} is,"[""{}'s music label is"", 'The record label of {} is', '{} is signed to']"
P264,{} is represented by record label,"['{} is represented by the record label', '{} is signed to', ""{}'s record label is""]"
